pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
910523,Espolon,Sparkling Margarita Cans 330mL,24.95,4.0,4.69,6.24
910523,Espolon,Sparkling Margarita Cans 330mL,130.99,24.0,28.14,5.46
963124,Jack Daniel's,Double Jack & Cola Cans 10 Pack 375mL,67.95,20.0,20.43,3.4
963124,Jack Daniel's,Double Jack & Cola Cans 10 Pack 375mL,135.9,40.0,40.85,3.4
277560,Billson's,Vodka & Grape Burst Cans 355mL,16.8,4.0,3.92,4.2
277560,Billson's,Vodka & Grape Burst Cans 355mL,97.5,24.0,23.54,4.06
910419,Billson's,Vodka & Sour Peach Cans 355mL,20.0,4.0,3.92,5.0
910419,Billson's,Vodka & Sour Peach Cans 355mL,129.99,24.0,23.54,5.42
742171,Vodka Cruiser,Bold Berry Blend Bottles 275mL,16.1,4.0,3.99,4.03
742171,Vodka Cruiser,Bold Berry Blend Bottles 275mL,75.0,24.0,23.97,3.12
220191,Penni Ave Distillery,"Pepperberry Vodka With Coastal Rosemary, Lemon And Soda Cans 355mL",24.99,4.8,4932.48,5.21
220191,Penni Ave Distillery,"Pepperberry Vodka With Coastal Rosemary, Lemon And Soda Cans 355mL",133.99,28.8,29594.9,4.65
914107,Bundaberg,Rum & Cola Bottle 640mL,13.0,2.3,2.32,5.65
914107,Bundaberg,Rum & Cola Bottle 640mL,149.99,27.6,27.89,5.43
6023221,Monsuta,Premium Highball Whisky Citrus & Soda Cans 350mL,27.99,6.4,6.63,4.37
6023221,Monsuta,Premium Highball Whisky Citrus & Soda Cans 350mL,131.99,38.4,39.79,3.44
6025567,Smirnoff,Crush Passionfruit & Guava Cans 440mL,32.99,8.4,8.34,3.93
6025567,Smirnoff,Crush Passionfruit & Guava Cans 440mL,179.99,50.4,50.02,3.57
385043,Nelson County,6% Bourbon & Cola Cans 375mL,31.99,9.6,10.66,3.33
385043,Nelson County,6% Bourbon & Cola Cans 375mL,114.99,38.4,42.63,2.99
742152,Vodka Cruiser,Lush Guava Bottles 275mL,19.95,4.0,3.99,4.99
742152,Vodka Cruiser,Lush Guava Bottles 275mL,88.95,24.0,23.97,3.71
380671,Wild Turkey,101 Bourbon and Cola Can 375mL,29.0,7.6,7.7,3.82
380671,Wild Turkey,101 Bourbon and Cola Can 375mL,170.99,45.6,46.18,3.75
917461,Johnnie Walker,Red Label & Cola 6.5% Can 375mL,28.0,7.6,7.7,3.68
917461,Johnnie Walker,Red Label & Cola 6.5% Can 375mL,166.99,45.6,46.18,3.66
329005,Smirnoff,Ice Double Black Cans 6.5% 375mL,30.99,7.6,7.7,4.08
329005,Smirnoff,Ice Double Black Cans 6.5% 375mL,162.99,45.6,46.18,3.57
179832,White Claw,Hard Seltzer Watermelon 330mL,20.0,4.8,4.69,4.17
179832,White Claw,Hard Seltzer Watermelon 330mL,129.99,28.8,28.14,4.51
20844,Southern Comfort,& Cola Cans 375mL,26.99,7.8,7.99,3.46
20844,Southern Comfort,& Cola Cans 375mL,90.99,31.2,31.97,2.92
902743,Smirnoff,Ice Red Cans 375mL,34.0,7.8,7.99,4.36
902743,Smirnoff,Ice Red Cans 375mL,129.99,31.2,31.97,4.17
235254,Suntory,-196 Double Grape Can 330mL,17.65,6.4,6.25,2.76
235254,Suntory,-196 Double Grape Can 330mL,90.0,38.4,37.51,2.34
911676,Smirnoff,Crush Mango and Peach Cans 440mL,32.99,8.4,8.34,3.93
