pid,brand,product,quantity,price,standard drinks,standard drinks estimate,price per sd
850672,Jack Daniel's,Tennessee Whiskey & Cola Bottle 330mL,24.0,118.99,31.2,31.26,3.81
466239,Squealing Pig,Tropical Sauvignon Blanc Spritzer Cans 250mL,4.0,19.99,3.6,3.55,5.55
466239,Squealing Pig,Tropical Sauvignon Blanc Spritzer Cans 250mL,24.0,89.99,21.6,21.32,4.17
6017260,Gravity Seltzer Co.,Lemoncello Hard Soda Cans 330mL,4.0,25.49,5.2,5.21,4.9
6017260,Gravity Seltzer Co.,Lemoncello Hard Soda Cans 330mL,16.0,83.99,20.8,20.84,4.04
53295,Curatif,Archie Rose Espresso Martini 120mL,4.0,45.0,6.0,6.21,7.5
53295,Curatif,Archie Rose Espresso Martini 120mL,24.0,279.99,36.0,37.29,7.78
906512,Jack Daniel's,Tennessee Whiskey & Lemonade Cans 375mL,4.0,20.3,6.0,5.68,3.38
906512,Jack Daniel's,Tennessee Whiskey & Lemonade Cans 375mL,24.0,94.25,36.0,34.1,2.62
6003835,Four Pillars,Gin Punch Cans 330mL,4.0,27.99,4.8,5.0,5.83
6003835,Four Pillars,Gin Punch Cans 330mL,24.0,139.99,28.8,30.01,4.86
311718,Hard Rated,Cans 375mL,4.0,22.95,5.2,5.33,4.41
311718,Hard Rated,Cans 375mL,24.0,114.95,31.2,31.97,3.68
171431,Smirnoff,Seltzer Mix Pack 12x250mL,1.0,57.0,1.1,0.99,51.82
171431,Smirnoff,Seltzer Mix Pack 12x250mL,3.0,185.99,3.3,2.96,56.36
310833,Kirin,Hyoketsu Lemon 10 Pack Cans 330mL,10.0,45.95,16.0,15.63,2.87
310833,Kirin,Hyoketsu Lemon 10 Pack Cans 330mL,30.0,137.85,48.0,46.89,2.87
165421,Rainbird,Mixed 12 Pack Seltzer 6% Cans 330mL,12.0,63.99,19.2,18.76,3.33
165421,Rainbird,Mixed 12 Pack Seltzer 6% Cans 330mL,24.0,134.99,38.4,37.51,3.52
